id,email,encrypted_password,reset_password_token,reset_password_sent_at,remember_created_at,sign_in_count,current_sign_in_at,last_sign_in_at,current_sign_in_ip,last_sign_in_ip,omniuser_id,confirmation_token,confirmed_at,confirmation_sent_at,unconfirmed_email,created_at,updated_at
1,babanba.n@gmail.com,$2a$10$SG0zqyARBSWAM6FRL5uo6OnPSBPUWi24IA3ir0lWxvIv7RGVUnqZ6,,"","",3,2012-07-08 14:42:38 UTC,2012-07-08 07:02:36 UTC,127.0.0.1,127.0.0.1,0,ftvk4eizqxjpuVsqhTee,2012-07-09 17:00:33 UTC,2012-07-02 15:55:50 UTC,,2012-07-02 15:55:50 UTC,2012-07-09 17:00:33 UTC
2,1@test.jp,$2a$10$IbUu9y4oTZObacdTQhBwHOe49FfWb3kUAZNSIiCzgPxgwqqM56Uhq,,"","",1,2012-06-05 00:24:47 UTC,2012-06-05 00:24:47 UTC,127.0.0.1,127.0.0.1,2012,2012-06-05 00:24:47,2012-07-09 17:00:33 UTC,"",,"",2012-07-09 17:00:33 UTC
3,2@test.jp,$2a$10$HeUwWIYyBhoXc3IGdaWsteBDQyNPu1ACLDJrE1rsbtaLrrsw..t1W,,"","",1,2012-06-05 00:25:09 UTC,2012-06-05 00:25:09 UTC,127.0.0.1,127.0.0.1,2012,2012-06-05 00:25:09,2012-07-09 17:00:33 UTC,"",,"",2012-07-09 17:00:33 UTC
4,3@test.jp,$2a$10$4wQ/u6hpjgfauItR8mkgM.2zTIQGEhwV/ftPlnlyv0IES7H2SUq0u,,"","",1,2012-06-05 00:25:30 UTC,2012-06-05 00:25:30 UTC,127.0.0.1,127.0.0.1,2012,2012-06-05 00:25:30,2012-07-09 17:00:33 UTC,"",,"",2012-07-09 17:00:33 UTC
5,4@test.jp,$2a$10$eLPfr2j418KWTRtgTIdsbOlH.Fem4E.Tj2ROwORtPUq2yvg3lERUO,,"","",1,2012-06-05 00:25:49 UTC,2012-06-05 00:25:49 UTC,127.0.0.1,127.0.0.1,2012,2012-06-05 00:25:49,2012-07-09 17:00:33 UTC,"",,"",2012-07-09 17:00:33 UTC
6,5@test.jp,$2a$10$TJWRQanfpLUTfPrLdY3doudhLxI.81V/lRXgh.trW6UvJekfXKBFq,,"","",1,2012-06-05 00:27:17 UTC,2012-06-05 00:27:17 UTC,127.0.0.1,127.0.0.1,2012,2012-06-05 00:27:17,2012-07-09 17:00:33 UTC,"",,"",2012-07-09 17:00:33 UTC
7,6@test.jp,$2a$10$gw0nDAHGJ2m4FCMyXynTRuA2l24SsQpqwrfh/yhS6S2IKukmdT/BG,,"","",1,2012-06-05 00:27:35 UTC,2012-06-05 00:27:35 UTC,127.0.0.1,127.0.0.1,2012,2012-06-05 00:27:35,2012-07-09 17:00:33 UTC,"",,"",2012-07-09 17:00:33 UTC
8,7@test.jp,$2a$10$nOLdqofa/vN43UVbz32JNeSo1JSxN07a7QzX3qPCIb9rXUc5R8zKm,,"","",1,2012-06-05 00:28:03 UTC,2012-06-05 00:28:03 UTC,127.0.0.1,127.0.0.1,2012,2012-06-05 00:28:03,2012-07-09 17:00:33 UTC,"",,"",2012-07-09 17:00:33 UTC
9,8@test.jp,$2a$10$DM4JGN5kos09M80dIG.qZeG/yf6Plz5U.hxH.uLeFBdyE1qIenK72,,"","",1,2012-06-05 00:28:24 UTC,2012-06-05 00:28:24 UTC,127.0.0.1,127.0.0.1,2012,2012-06-05 00:28:24,2012-07-09 17:00:33 UTC,"",,"",2012-07-09 17:00:33 UTC
10,9@test.jp,$2a$10$fRG1ITFJQeDCr2xRqETvAeVj0GynYl0ug933/L198CkEXRDPYSQLS,,"","",1,2012-06-05 00:28:38 UTC,2012-06-05 00:28:38 UTC,127.0.0.1,127.0.0.1,2012,2012-06-05 00:28:38,2012-07-09 17:00:33 UTC,"",,"",2012-07-09 17:00:33 UTC
